NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT07221890,A Trial of Academic Detailing to Promote Prescribing of Biosimilars,Brigham and Women's Hospital,ACTIVE_NOT_RECRUITING,NA,Autoimmune Diseases | Rheumatoid Arthritis (RA) | Inflammatory Bowel Disease (IBD) | Psoriasis (PsO)
NCT02829424,Multicenter Randomized Double Blind Controlled-study to Assess the Potential of Methotrexate Versus Placebo to Improve and Maintain Response to Anti TNF- Alpha Agents in Adult Patients With Moderate to Severe Psoriasis,Assistance Publique Hopitaux De Marseille,TERMINATED,PHASE4,Psoriasis
NCT02531061,Impact of the Persistence of Inflammation at Doppler Ultrasound Level on the Structural Evolution of Erosion in Rheumatoid Arthritis Treated With Biotherapy,Centre Hospitalier Universitaire de Saint Etienne,COMPLETED,NA,Rheumatoid Arthritis
NCT01783015,Study of Etanercept in Subjects With Rheumatoid Arthritis Who Have Had an Inadequate Response to Adalimumab or Infliximab Plus Methotrexate,Pfizer,TERMINATED,PHASE4,Rheumatoid Arthritis
NCT01852097,An Online Intervention to Address Barriers to IBD Medication Adherence,"University College, London",UNKNOWN,NA,Inflammatory Bowel Disease (IBD)
NCT05598684,SAPHIR : Assessment of Predictive Factors for Persistence of Treatment After Initiation of Adalimumab With a Biosimilar (Adalimumab Fresenius KaBI or Substitution of Reference Adalimumab With the Fresenius Kabi Adalimumab Biosimilar in Patients With Chronic Inflammatory Diseases,"Fresenius Kabi, France",UNKNOWN,N/A,Crohn Disease | Ulcerative Colitis | Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis
NCT03886233,Treatment Outcome of Uveitis in Autoimmune Diseases,Assiut University,UNKNOWN,N/A,Autoimmune Uveitis
NCT05889338,Effect of Adalimumab Therapy on Psoriasis Patient,Sohag University,UNKNOWN,NA,Psoriasi
NCT00409617,Study of Adalimumab Treatment for Induction and Maintenance of Clinical Remission in Subjects With Crohn's Disease,Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT02539849,Effect of Prebiotic FOS on Intestinal Abundance of Faecalibacterium Prausnitzii in Patients With Crohn´s Disease,Hospital Universitari Vall d'Hebron Research Institute,COMPLETED,NA,Crohn Disease
NCT05172817,"Study to Compare PK & Safety of Advixa With Humira in Healthy, Adult Subject Followed by Efficacy & Safety Study in RA Patients","Institute for Developing Science and Health Initiatives, Bangladesh",UNKNOWN,PHASE2 | PHASE3,Pharmacokinetics | Safety | Efficacy | Rheumatoid Arthritis
NCT06390436,Therapeutic Drug Monitoring-baSed adalimuMab De-escalatiOn in nOn-infecTious cHronic Uveitis,Centre Hospitalier Universitaire de Saint Etienne,NOT_YET_RECRUITING,PHASE4,Uveitis | Chronic Disease
NCT06600009,Treatment Persistence of Biologics in Patients with PsA in Japan; Retrospective Cohort Study Using a Claims Database,Novartis,COMPLETED,N/A,Psoriatic Arthritis
NCT00291915,Multicenter Randomized Prospective Trial Comparing Methotrexate Alone or in Combination With Adalimumab in Early Arthritis,Goupe d'Etudes et de Recherche Clinique En Rhumatologie,UNKNOWN,PHASE4,Rheumatoid Arthritis | Arthritis
NCT02914717,The Belgian SMART Study Evaluating the Use of Golimumab for Ulcerative Colitis,Universitaire Ziekenhuizen KU Leuven,COMPLETED,N/A,Ulcerative Colitis
NCT01136252,Intravitreal Adalimumab in Patients With Choroidal Neovascularization Secondary to Age-related Macular Degeneration,Hospital Universitari Vall d'Hebron Research Institute,COMPLETED,PHASE2,Age-Related Macular Degeneration | Choroidal Neovascularization
NCT01759264,An Observational Study of Fecal Calprotectin as Clinical Tool in Monitoring Moderate-to-severe Crohn's Disease on Adalimumab Induction Therapy: a KoRean Experience (FAIR),"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Crohn's Disease
NCT01704599,Addition of Modulators of Homocysteine to Adalimumab Therapy in the Treatment of Moderate to Severe Plaque Psoriasis,Wayne State University,TERMINATED,PHASE1 | PHASE2,Psoriasis
NCT01640548,A Retrospective Chart Review on the Use of Biologics in Monotherapy for the Treatment of Patients With Rheumatoid Arthritis,Hoffmann-La Roche,COMPLETED,N/A,Rheumatoid Arthritis
NCT05105347,Efficacy and Safety of Adalimumab Plus Medium Dose Oral Glucocorticosteroid for Refractory Behçet's Uveitis,Peking Union Medical College Hospital,NOT_YET_RECRUITING,PHASE4,Uveitis
NCT04875299,Optimal Adalimumab Plasma Concentrations in Ankylosing Spondylitis Patients,The First Affiliated Hospital of Soochow University,UNKNOWN,N/A,Ankylosing Spondylitis
NCT05596422,A Study of Vedolizumab and Biologic Agents in Participants With Inflammatory Bowel Disease (IBD),Takeda,COMPLETED,N/A,Inflammatory Bowel Disease (IBD) | Ulcerative Colitis | Crohn's Disease
NCT02713295,"A Study to Provide Real-world Evidence on the Treatment Goal Achievement Rate, Adherence to and Utilization Patterns of Adalimumab in Patients With Moderate to Severe Plaque Psoriasis in Greece",AbbVie,COMPLETED,N/A,Moderate to Severe Plaque Psoriasis
NCT03833271,The Efficacy of Influenza Vaccine Program in Children With Juvenile Idiopathic Arthritis. A Single Centre Results From Hungary,University of Pecs,COMPLETED,EARLY_PHASE1,Juvenile Idiopathic Arthritis
NCT01483599,A Study to Evaluate CNTO 1959 in the Treatment of Patients With Moderate to Severe Plaque-type Psoriasis,Janssen Inc.,COMPLETED,PHASE2,Psoriasis
NCT01320293,Cardiovascular Effects in Psoriasis Patients Treated With Adalimumab.,"University of North Carolina, Chapel Hill",COMPLETED,NA,Psoriasis
NCT01848028,PsoBest - The German Psoriasis Registry,Universitätsklinikum Hamburg-Eppendorf,RECRUITING,N/A,Psoriasis | Psoriatic-arthritis
NCT05503875,Immunoclassification of Psoriasis: a Strategy for Precision Medicine,"Second Affiliated Hospital, School of Medicine, Zhejiang University",RECRUITING,NA,Immunoclassification | Psoriasis
NCT00420927,Study of the Optimal Protocol for Methotrexate and Adalimumab Combination Therapy in Early Rheumatoid Arthritis,Abbott,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT02572245,A Study of PF-06410293 Following Subcutaneous Administration Using A Prefilled Syringe Or A Prefilled Pen In Healthy Adult Subjects,Pfizer,COMPLETED,PHASE1,Healthy Subjects
NCT04731831,Characterization of Immunogenicity of TNF Inhibitors in Arthritis Patients With Poorer Treatment Response.,Aalborg University Hospital,RECRUITING,N/A,"Arthritis, Rheumatoid | Arthritis, Psoriatic | Spondylitis, Ankylosing"
NCT04224194,Auto-injector Real Life Handling in Patients,Alvotech Swiss AG,COMPLETED,PHASE3,RA
NCT02904902,Open-label Study of Adalimumab in Japanese Subjects With Hidradenitis Suppurativa,AbbVie,COMPLETED,PHASE3,Hidradenitis Suppurativa
NCT01076205,Safety and Effect on Quality of Life/Work Productivity of Humira in Patients With Rheumatoid Arthritis,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT01981473,"Drug Concentration, Immunogenicity, and Efficacy Study in Patients With Rheumatoid Arthritis Currently Treated With Etanercept, Adalimumab, or Infliximab",Pfizer,COMPLETED,N/A,Rheumatoid Arthritis
NCT05874505,"""Comparison of the Efficacy and Safety of Adalimumab to That of Tocilizumab in Severe Uveitis of Behçet's Disease""",Assistance Publique - Hôpitaux de Paris,NOT_YET_RECRUITING,PHASE2,Behcet's Uveitis
NCT03110094,Investigation of Immunological and Pharmacological Factors for Response to Adalimumab in Rheumatoid Arthritis,Rennes University Hospital,COMPLETED,NA,Rheumatoid Arthritis
NCT01373151,Phase IIB Rheumatoid Arthritis Dose Ranging Study for BMS-945429 in Subjects Who Are Not Responding to Methotrexate,CSL Behring,COMPLETED,PHASE2,Rheumatoid Arthritis
NCT02668640,Real-World Outcome of Adalimumab on Rheumatoid Arthritis Patients in China,AbbVie,COMPLETED,N/A,Rheumatoid Arthritis
NCT01557348,An Observational Study of MabThera/Rituxan (Rituximab) and Alternative TNF-Inhibitors in Patients With Rheumatoid Arthritis and an Inadequate Response to a Single Previous TNF-Inhibitor,Hoffmann-La Roche,COMPLETED,N/A,Rheumatoid Arthritis
NCT05073315,A Comparative Study Between ABP 501 and Humira® in Participants With Moderate to Severe Plaque Psoriasis,Amgen,COMPLETED,PHASE3,Plaque Psoriasis
NCT07486843,Preventing Structural Damage in Early Psoriatic Arthritis,Chinese University of Hong Kong,RECRUITING,PHASE4,Psoriatic Arthritis (PsA)
NCT01756235,Physical Activity in Patients With Rheumatoid Arthritis Treated With Adalimumab in Routine Clinical Practice,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT01670240,Adalimumab in the Treatment of Chronic Pouchitis,Odense University Hospital,COMPLETED,PHASE3,Ulcerative Colitis | Pouchitis
NCT03219359,Autologous Stem Cell Transplant for Crohn's Disease,Aaron Etra,RECRUITING,PHASE2,Crohn Disease
NCT04859088,Biologics and Partial Enteral Nutrition Study,NHS Greater Glasgow and Clyde,RECRUITING,NA,Crohn Disease
NCT00513370,A Canadian Open-Label Access Program to Evaluate Adalimumab When Added to Inadequate Therapy for the Treatment of Psoriasis,Abbott,COMPLETED,PHASE3,Psoriasis
NCT03591770,Shingrix Vaccine in Patients With Moderate to Severe Ulcerative Colitis on Tofacitinib,Boston Medical Center,TERMINATED,PHASE4,Inflammatory Bowel Diseases
NCT05205603,Efficacy of Mesalazine Combined With Biologics in the Treatment of Moderate to Severe Ulcerative Colitis,"Sixth Affiliated Hospital, Sun Yat-sen University",UNKNOWN,PHASE4,"Ulcerative Colitis | Efficacy, Self | Biologics | Mesalazine"
NCT01754727,Impact of Adalimumab (Humira®) Therapy on Selected Health Care Resource Utilization and Sick Leave in Patients With Ankylosing Spondylitis in Clinical Practice,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Ankylosing Spondylitis
NCT06640517,"Study of the Efficacy, Safety, Pharmacokinetics, and Immunogenicity of Netakimab in Children With Moderate to Severe Plaque Psoriasis",Biocad,ACTIVE_NOT_RECRUITING,PHASE3,Plaque Psoriasis
NCT00638261,Primary UVB-311nm and Adalimumab in Psoriasis Patients,Medical University of Graz,COMPLETED,NA,Psoriasis
NCT04196920,"Methotrexate-associated Anti-TNF Combination Therapy, the Neglected One !","University Hospital, Montpellier",UNKNOWN,N/A,Chronic Inflammatory Bowel Disease
NCT00299546,A Study of the Safety and Efficacy of Golimumab (CNTO 148) in Subjects With Active Rheumatoid Arthritis Previously Treated With Biologic Anti-TNFa Agent(s),"Centocor, Inc.",COMPLETED,PHASE3,"Arthritis, Rheumatoid"
NCT03259074,Effect of Secukinumab on Radiographic Progression in Ankylosing Spondylitis as Compared to GP2017 (Adalimumab Biosimilar),Novartis Pharmaceuticals,COMPLETED,PHASE3,Ankylosing Spondylitis
NCT00421642,Open-Label Adalimumab for Ulcerative Colitis Patients,Mayo Clinic,COMPLETED,PHASE1,Ulcerative Colitis
NCT00195819,Safety and Efficacy of Adalimumab in Patients With Active Ankylosing Spondylitis,Abbott,COMPLETED,PHASE3,Ankylosing Spondylitis
NCT02451839,An ObserVatIonal STudy of the Effectiveness of AdaLimumab on Health and Disability Outcomes in New Zealand Patients With Immune-Mediated InflammaTorY Diseases (VITALITY),AbbVie,COMPLETED,N/A,Crohn's Disease | Rheumatoid Arthritis | Psoriasis
NCT03383263,"A Study to Assess Persistence, Adherence and Changes in Disease Activity in the Children Population of Juvenile Arthritis Patients Treated With Adalimumab (HUMIRA®)",AbbVie,COMPLETED,N/A,Polyarticular Juvenile Arthritis
NCT03017014,A Study to Assess Safety and Effectiveness of Adalimumab for Treating Children and Adolescents With Crohn's Disease in Real Life Conditions,AbbVie,TERMINATED,N/A,Crohn's Disease
NCT02116504,Anti-Biopharmaceutical Immunization: Prediction and Analysis of Clinical Relevance to Minimize the Risk of Immunization in Rheumatoid Arthritis Patients or Juvenile Idiopathic Arthritis Patients,Assistance Publique - Hôpitaux de Paris,UNKNOWN,NA,Rheumatoid Arthritis | Juvenile Idiopathic Arthritis
NCT00274352,A Study of Adalimumab to Treat Sarcoidosis of the Skin,"Pariser, Robert J., M.D.",COMPLETED,PHASE2,Sarcoidosis
NCT01078116,Cost Utility Analyses of Adalimumab Treatment in Patients With Rheumatoid Arthritis (RA),Abbott,COMPLETED,N/A,Rheumatoid Arthritis
NCT04259138,Determination of the Optimal Treatment Target in Ulcerative Colitis,Alimentiv Inc.,ACTIVE_NOT_RECRUITING,PHASE4,"Colitis, Ulcerative"
NCT01270087,The Effect of Adalimumab (Humira) on Vascular Abnormalities in Rheumatoid Arthritis. A Pilot Study.,Skane University Hospital,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT06258915,Treatment FOr Corticosteroid Dependent UveitiS,Assistance Publique - Hôpitaux de Paris,NOT_YET_RECRUITING,PHASE3,Non Infectious Uveitis
NCT05909852,A Study Comparing the Pharmacokinetics (PK) of ABP 501 40 mg/0.4 mL (ABP 501-HCF) and ABP 501 40 mg/0.8 ml (ABP 501-LCF) in Healthy Adult Participants,Amgen,COMPLETED,PHASE1,Adalimumab
NCT03737708,A Study Comparing Biologics + Methotrexate With Biologics + Tacrolimus in Patients With Rheumatoid Arthritis (RA),"Astellas Pharma Korea, Inc.",COMPLETED,PHASE4,Rheumatoid Arthritis (RA)
NCT01163617,The Usability and Injection Time of the Physiolis Syringe and Autoinjector in Rheumatoid Arthritis Patients,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE2,Rheumatoid Arthritis
NCT05051943,A Study of the Real-world Use of an Adalimumab Biosimilar and Evaluation of Nutritional Status on the Therapeutic Response,Fresenius Kabi,COMPLETED,N/A,Crohn Disease | Ulcerative Colitis | Psoriasis | Ankylosing Spondylitis | Rheumatoid Arthritis | Psoriatic Arthritis
NCT02451748,IL-7 and IL-7R Expression in RA Patients With Active vs. Inactive Disease Treated With DMARD or CIMZIA,University of Illinois at Chicago,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT00235833,Adalimumab in Adult Japanese Subjects With Rheumatoid Arthritis,Abbott,COMPLETED,PHASE2,Rheumatoid Arthritis
NCT04655807,A Study of JNJ-64304500 as Add-on Therapy in Participants With Active Crohn's Disease,"Janssen Research & Development, LLC",WITHDRAWN,PHASE2,Crohn Disease
NCT02065557,Efficacy and Safety of Adalimumab in Pediatric Subjects With Moderate to Severe Ulcerative Colitis,AbbVie,COMPLETED,PHASE3,Ulcerative Colitis
NCT02994836,GIS-SUSANTI-TNF-2015 (Anti-TNF Discontinuation ),Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,COMPLETED,PHASE4,Crohn's Disease | Inflammatory Bowel Disease | Ulcerative Colitis
NCT04042792,Characterization of Adalimumab Concentrations in Pediatric Patients With Inflammatory Rheumatic Disease With and Without Methotrexate,"University Hospital, Basel, Switzerland",COMPLETED,N/A,Rheumatic Diseases
NCT05020730,Trial to Determine the Immunomodulatory Activity of PTM-001 in Patients With Hidradenitis Suppurativa,Phoenicis Therapeutics,UNKNOWN,PHASE2,Hidradenitis Suppurativa
NCT02722044,Usability of an AI for M923 in Subjects With Moderate to Severe RA,"Momenta Pharmaceuticals, Inc.",COMPLETED,PHASE3,Rheumatoid Arthritis
NCT00929864,Abatacept Versus Adalimumab Head-to-Head,Bristol-Myers Squibb,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01282372,Greek Study on Work Productivity and Sleep in Patients With Rheumatic Diseases Treated With Adalimumab,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis
NCT06301477,PRecisiOn Microbiome Directed ExtensiOn of Anti-TNFα Crohn's Disease ThErapy in Children: The PROMOTE Trial,Children's Hospital of Eastern Ontario,ACTIVE_NOT_RECRUITING,NA,Inflammatory Bowel Diseases | Crohn Disease
NCT01783730,"Assessment of the Safety of Adalimumab in Rheumatoid Arthritis Patients Showing Rapid Progression of Structural Damage of the Joints, Who Have no Prior History of Treatment With Disease-modifying Anti-rheumatic Drugs or Biological Agents",AbbVie,COMPLETED,N/A,Rheumatoid Arthritis
NCT01768858,"Assessment of Rheumatoid Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Plaque Psoriasis, Crohn's Disease and Ulcerative Colitis Patients´ Adherence Attitudes to Maintenance Therapy With a Scheduled Adalimumab Treatment in Routine Clinical Practice",AbbVie,COMPLETED,N/A,Rheumatoid Arthritis | Ankylosing Spondylitis | Psoriatic Arthritis | Crohn´s Disease | Ulcerative Colitis | Plaque Psoriasis
NCT05590416,A Study of Adalimumab in Acute Vogt-Koyanagi-Harada Disease,Tianjin Medical University,RECRUITING,N/A,Vogt-Koyanagi-Harada Disease | Adalimumab
NCT02738125,Assessing Effectiveness of Adalimumab for Treating Ulcerative Colitis in Real Life Conditions,AbbVie,COMPLETED,N/A,Ulcerative Colitis (UC)
NCT02862574,Andecaliximab as Add-On Therapy to a Tumor Necrosis Factor Inhibitor and Methotrexate Regimen in Adults With Moderately to Severely Active Rheumatoid Arthritis,Gilead Sciences,TERMINATED,PHASE2,Rheumatoid Arthritis
NCT01500278,Study to Assess the Short- and Long-term Efficacy of Certolizumab Pegol Plus Methotrexate Compared to Adalimumab Plus Methotrexate in Subjects With Moderate to Severe Rheumatoid Arthritis (RA) Inadequately Responding to Methotrexate,UCB Pharma SA,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT06440629,Effect of Proactive Therapeutic Drug Monitoring on Maintenance of Sustained Disease Control in Adults With Rheumatoid Arthritis on a Subcutaneous TNF Inhibitor: The Rheumatoid Arthritis Therapeutic DRUg Monitoring Trial (RA-DRUM),Diakonhjemmet Hospital,RECRUITING,PHASE4,Rheumatoid Arthritis
NCT00851565,Use of Combined Measurements of Serum Infliximab and Anti-infliximab Antibodies in the Treatment of Patients With Crohns Disease Failing Infliximab Therapy,Copenhagen University Hospital at Herlev,UNKNOWN,PHASE4,Crohn's Disease
NCT01970475,Efficacy and Safety Study of ABP 501 Compared to Adalimumab in Subjects With Moderate to Severe Rheumatoid Arthritis,Amgen,COMPLETED,PHASE3,"Arthritis, Rheumatoid"
NCT02632175,Long-term Safety and Efficacy Study of Adalimumab in Pediatric Subjects With Ulcerative Colitis,AbbVie,COMPLETED,PHASE3,Ulcerative Colitis
NCT07152977,Description of the Radiological Response of Anoperineal Fistulizing Lesions of Crohn's Disease,"University Hospital, Rouen",COMPLETED,N/A,Anoperineal Lesions | Crohn&#39;s Disease Relapse
NCT03362736,An Early Access Program For Ustekinumab In Participants With Moderately To Severely Active Crohn's Disease,"Janssen Research & Development, LLC",NO_LONGER_AVAILABLE,N/A,Crohn Disease
NCT07344428,Efficacy and Safety of CDED With Anti-TNF-α Biologics in Crohn's Disease,"Sixth Affiliated Hospital, Sun Yat-sen University",NOT_YET_RECRUITING,NA,Crohn Disease
NCT02480153,A Study Of PF-06410293 (Adalimumab-Pfizer) And Adalimumab (Humira®) In Combination With Methotrexate In Subjects With Active Rheumatoid Arthritis (REFLECTIONS B538-02).,Pfizer,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT02349451,"A Phase 2 Study to Investigate the Safety, Tolerability and Efficacy of ABT-122 in Subjects With Active Psoriatic Arthritis (PsA) Who Have an Inadequate Response to Methotrexate (MTX)",AbbVie,COMPLETED,PHASE2,Psoriatic Arthritis
NCT01927757,Evaluating Etanercept Use in Patients With Moderate to Severe Rheumatoid Arthritis Who Have Lost Response to Adalimumab,Amgen,TERMINATED,PHASE4,Moderate to Severe Rheumatoid Arthritis
NCT01609205,Doppler Evaluation in RA Patients After Adalimumab.,Hamed Rezaei,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT00690573,"Safety, Efficacy, and Pharmacokinetics of Adalimumab in Japanese Children With Juvenile Rheumatoid Arthritis",Abbott,COMPLETED,PHASE3,Juvenile Rheumatoid Arthritis
NCT02675023,"Assessment of Pharmacokinetics and Safety of M923 Administered Via Auto-injector or Prefilled Syringe, in Healthy Subjects","Momenta Pharmaceuticals, Inc.",COMPLETED,PHASE1,Healthy
NCT05702879,Combined Microbiota and Metabolic Signature in Ulcerative Colitis Predicts Anti-Inflammatory Therapy Success,"Insel Gruppe AG, University Hospital Bern",UNKNOWN,N/A,Ulcerative Colitis
NCT00235885,Safety and Efficacy Study of Adalimumab in Patients With Active Psoriatic Arthritis (PsA),Abbott,COMPLETED,PHASE3,Psoriatic Arthritis
NCT00234936,Quality of Life Study With Adalimumab in Rheumatoid Arthritis,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT04018599,Comparison of PK and Tolerability of MSB11022 Administered by AI or PFS,Fresenius Kabi SwissBioSim GmbH,COMPLETED,PHASE1,Rheumatoid Arthritis | Polyarticular Juvenile Idiopathic Arthritis | Psoriatic Arthritis | Ankylosing Spondylitis | Crohn Disease | Ulcerative Colitis | Plaque Psoriasis | Pediatric Plaque Psoriasis | Pediatric Crohns Disease | Hidradenitis Suppurativa | Non-infectious Uveitis
NCT07177209,Describing Treatment Patterns and Creating an Updated Treatment Flow in an Ulcerative Colitis Population,Pfizer,NOT_YET_RECRUITING,N/A,Ulcerative Colitis
NCT07137858,"Adebrelimab Combined With Carboplatin and Albumin-bound Taxanol in the Treatment of Resectable Locally Advanced Oral Squamous Cell Carcinoma Cardiac, Randomized, Phase II Exploratory Study",Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,NOT_YET_RECRUITING,PHASE2,Oral Squamous Cell Carcinoma (OSCC) | Neoadjuvant Chemoimmunotherapy
NCT05603806,The ArthritisPower Wearable Study,Global Healthy Living Foundation,COMPLETED,N/A,Rheumatoid Arthritis
NCT03681652,Post-Operative Crohn's Disease Outcome in Children,"Schneider Children's Medical Center, Israel",RECRUITING,N/A,Crohn Disease
NCT01265823,Immediate Response With Adalimumab and Its Impact on Quality of Life and Other Comorbidity Factors in Patients With Moderate to Severe Plaque Psoriasis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE4,Psoriasis
NCT01872546,Skin Transcriptional Profiles In Psoriatic Patients Under Adalimumab Biotherapy,Poitiers University Hospital,COMPLETED,PHASE2,Chronic Plaque Psoriasis
NCT04045782,Evaluation of the Safety and Effectiveness of Switching From Humira® to Imraldi® in Flanders,"Pieter Dewint, MD PhD",COMPLETED,PHASE4,Inflammatory Bowel Diseases
NCT05995691,Study to Determine the Pharmacokinetic (PK) Bioequivalence of ABP 501 and Adalimumab (Humira®) in Healthy Adult Japanese Participants,Amgen,COMPLETED,PHASE1,Healthy Volunteers
NCT01119859,A Study of Tocilizumab (RoActemra/Actemra) Versus Adalimumab in Patients With Rheumatoid Arthritis,Hoffmann-La Roche,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT01076959,Drug Use Investigation for Humira® - All Patient Investigation for Rheumatoid Arthritis,Abbott,COMPLETED,N/A,Rheumatoid Arthritis
NCT02405780,"A Study to Compare FKB327 Long-term Safety, Efficacy and Immunogenicity With Humira® in Rheumatoid Arthritis Patients","Fujifilm Kyowa Kirin Biologics Co., Ltd.",COMPLETED,PHASE3,"Arthritis, Rheumatoid"
NCT05759104,Treatment and Fate in Fistulizing Crohn's Disease in a Pediatric Population,"Central Hospital, Nancy, France",UNKNOWN,N/A,Crohn Disease
NCT06242652,A Study to Evaluate 608 in Patients with Ankylosing Spondylitis (AS),"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",UNKNOWN,PHASE2,Ankylosing Spondylitis
NCT02434133,Cross Sectional Study of Vaccine Antibody Response in Inflammatory Bowel Disease Patients,"University of Wisconsin, Madison",COMPLETED,N/A,Inflammatory Bowel Disease (IBD)
NCT00645814,Multicenter Study of the Safety and Efficacy of Adalimumab in Subjects With Moderate to Severe Chronic Plaque Psoriasis,Abbott,COMPLETED,PHASE2,Psoriasis
NCT05169593,Prevention of Postoperative Endoscopic Recurrence with Endoscopy-driven Versus Systematic Biological Therapy,Universitaire Ziekenhuizen KU Leuven,RECRUITING,PHASE4,Crohn Disease
NCT01083563,Draining PLN and Synovial Inflammation in RA Knee Joints Pre and Post Anti-TNF or B Cell Depletion Therapy,University of Rochester,TERMINATED,N/A,Rheumatoid Arthritis
NCT01243671,A Study of Adalimumab in Japanese Subjects With Intestinal Behçet's Disease,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Intestinal Behçet's Disease
NCT07151937,A Study of LAD191 in Adults With Hidradenitis Suppurativa,"Almirall, S.A.",NOT_YET_RECRUITING,PHASE2,Hidradenitis Suppurativa
NCT02878161,"Predictability Studies on the Efficacy of TNF-α Inhibitors in Chinese RA From ""Real World""",Fen Li,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT01958827,A Study of Adalimumab After Dose Escalation in Japanese Subjects With Crohn's Disease,AbbVie,COMPLETED,PHASE3,Crohn's Disease
NCT01848561,A Long-Term Registry of Humira® (Adalimumab) in Patients With Moderately to Severely Active Ulcerative Colitis (UC),AbbVie,ACTIVE_NOT_RECRUITING,N/A,Ulcerative Colitis (UC)
NCT00686374,Efficacy and Long Term Safety of Adalimumab in Pediatric Subjects Who Have Demonstrated Clinical Response in M06-806,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Crohn's Disease
NCT02450513,Adalimumab Trough Concentrations in Crohn's Disease: A Pilot Pharmacokinetic Study,Universitaire Ziekenhuizen KU Leuven,COMPLETED,N/A,Crohn's Disease
NCT00573794,Long-term Open-label Safety and Efficacy Study of Adalimumab in Subjects With Ulcerative Colitis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Ulcerative Colitis
NCT06774079,Glucagon-like Peptide-1 Receptor Agonist (GLP-1 RA) and Diet in Inflammatory Bowel Disease (IBD) Patients,University of Miami,RECRUITING,PHASE4,Crohn Disease
NCT02045979,Pharmacokinetics and Safety in Healthy Volunteers,Boehringer Ingelheim,COMPLETED,PHASE1,Healthy
NCT00808509,A Pilot Study of the Feasibility of Discontinuation of Adalimumab in Stable Rheumatoid Arthritis Patients in Clinical Remission,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE4,"Arthritis, Rheumatoid"
NCT01970488,Study to Compare Efficacy and Safety of ABP 501 and Adalimumab (HUMIRA®) in Adults With Moderate to Severe Plaque Psoriasis,Amgen,COMPLETED,PHASE3,Psoriasis
NCT00814866,"Bone Resorption, Osteoclastogenesis and Adalimumab",Université de Sherbrooke,COMPLETED,NA,Rheumatoid Arthritis
NCT00235859,Adalimumab Administered in Korean Rheumatoid Arthritis Subjects Treated With Methotrexate,Abbott,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT02332356,Therapeutic Optimization Study Based on MR Enterocolonography in Patients With Crohn's Disease,Tokyo Medical and Dental University,UNKNOWN,PHASE3,Crohn Disease
NCT00470509,Adalimumab in Severe and Acute Sciatica,"University Hospital, Geneva",COMPLETED,PHASE2,Sciatica
NCT03917628,Pharmacokinetics and Safety in Healthy Volunteers,Sinocelltech Ltd.,COMPLETED,PHASE1,Healthy
NCT02714322,MYL-1401A Efficacy and Safety Comparability Study to Humira®,Mylan Inc.,COMPLETED,PHASE3,"Psoriasis | Arthritis, Psoriatic"
NCT01646073,Safety and Efficacy Study of Adalimumab in the Treatment of Plaque Psoriasis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Plaque Psoriasis
NCT04086745,A Study of Baricitinib in Participants With Rheumatoid Arthritis,Eli Lilly and Company,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT00478660,An Open-Label Study to Evaluate the Response to Adalimumab in Patients With Active Ankylosing Spondylitis Who Have Failed Standard Therapy or TNF-Alpha Inhibitors (RHAPSODY),Abbott,COMPLETED,PHASE3,Ankylosing Spondylitis
NCT01710358,A Study in Moderate to Severe Rheumatoid Arthritis,Eli Lilly and Company,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01505491,Pharmacokinetics and Safety Study of BI 695501 in Healthy Subjects,Boehringer Ingelheim,COMPLETED,PHASE1,Healthy
