NCT_Number,Title,Sponsor,Status,Phases,Conditions
NCT06413563,Analysis of Peripheral Blood Lymphocytes in Patients With Juvenile Idiopathic Arthritis With Respect to Disease Subtypes and Therapy,Sohag University,NOT_YET_RECRUITING,N/A,Juvenile Idiopathic Arthritis
NCT07237906,Neutropenia With TNF-α Inhibitors,Burak Ugur Cetin,COMPLETED,N/A,Neutropenia | TNF-alpha Inhibitors
NCT02820493,Effectiveness of Vedolizumab in CD Patients Naïve to Anti-TNF,Universita degli Studi di Genova,WITHDRAWN,PHASE4,Crohn Disease
NCT00077779,Adalimumab for the Induction and Maintenance of Clinical Remission in Subjects With Crohn's Disease,Abbott,COMPLETED,PHASE3,Crohn's Disease
NCT04300686,A Pilot Study in Severe Patients With Takayasu Arteritis.,Shanghai Zhongshan Hospital,RECRUITING,PHASE4,Takayasu Arteritis | Tocilizumab | Adalimumab | Treatment
NCT01219257,Longitudinal ULtrasonographic Study of Patients With Spondylarthritis Starting Biological Therapy,Diakonhjemmet Hospital,COMPLETED,N/A,Spondyloarthritis | Ultrasonography
NCT07522528,Biologics and Paediatric Enteral Nutrition in Crohn's Disease Study,University of Glasgow,RECRUITING,NA,Crohn's Disease (CD)
NCT05781152,"Clinical, Imaging, and Endoscopic Outcomes of Children Newly Diagnosed With Crohn's Disease",Connecticut Children's Medical Center,RECRUITING,PHASE4,Crohn Disease
NCT07510191,TNFi Plus Low-Dose Upadacitinib vs TNFi Intensification in Crohn's Disease With Suboptimal Response,"Sixth Affiliated Hospital, Sun Yat-sen University",RECRUITING,PHASE4,Crohn Disease (CD)
NCT06089590,Ibd CAncer and seRious Infections in France (I-CARE 2),Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives,RECRUITING,N/A,IBD | Ulcerative Colitis | Crohn Disease
NCT01346501,"Special Investigation in Patients With Rheumatoid Arthritis (HOPEFUL III Study), a Follow-up Survey of Study P12-069","AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Rheumatoid Arthritis
NCT01077128,Greek Study of the Quality of Life in Patients With Psoriasis Treated With Adalimumab,"AbbVie (prior sponsor, Abbott)",COMPLETED,N/A,Psoriasis
NCT03885713,Identification of Predictive Biomarkers for Response to Biologic Therapies and Tofacitinib in Inflammatory Bowel Disease,Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,COMPLETED,PHASE4,Inflammatory Bowel Diseases | Crohn Disease | Ulcerative Colitis
NCT00646386,Study of the Safety and Efficacy of the Human Anti-TNF Monoclonal Antibody Adalimumab in Subjects With Moderately to Severely Active Psoriatic Arthritis,Abbott,COMPLETED,PHASE2,Arthritis | Psoriatic
NCT00338754,Adalimumab in Adult Japanese Subjects With Moderate to Severe Chronic Plaque Psoriasis,Abbott,COMPLETED,PHASE2 | PHASE3,Psoriasis
NCT03394586,Real-world Data Regarding Treatment of Ulcerative Colitis Patients With Golimumab,University of Zurich,UNKNOWN,N/A,"Ulcerative Colitis | Flare Up, Symptom"
NCT04725422,CHronic Nonbacterial Osteomyelitis International Registry,Seattle Children's Hospital,RECRUITING,N/A,Chronic Nonbacterial Osteomyelitis | Chronic Recurrent Multifocal Osteomyelitis
NCT04230213,A Comparative Study Between PF-06410293 and Humira® in Combination With Methotrexate in Participants With Active Rheumatoid Arthritis,Pfizer,COMPLETED,PHASE3,Rheumatoid Arthritis
NCT01893996,Study of Adalimumab to Lower Cardiovascular Risk in RA Patients With Well Controlled Joint Disease,Jonathan Graf,COMPLETED,PHASE4,Rheumatoid Arthritis | Cardiovascular Disease
NCT02256462,Pediatric Crohn's Disease AdalImumab Level-based Optimization Treatment (PAILOT) Trial,"Schneider Children's Medical Center, Israel",COMPLETED,PHASE4,Crohn's Disease
NCT04882683,Clinical Study of Cord Blood Mononuclear Cells on Treatment of Hormone-resistant or Hormone-dependent Ulcerative Colitis,"Shandong Qilu Stem Cells Engineering Co., Ltd.",UNKNOWN,NA,Ulcerative Colitis
NCT03043677,Ex-vivo Modulatory Effect of Biological Drugs for Inflammatory Bowel Disease on the Mucosa and on Peripheral Blood Mononuclear Cells,Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,COMPLETED,N/A,Inflammatory Bowel Disease
NCT01185288,A Study to Determine the Effect of Methotrexate (MTX) Dose on Clinical Outcome and Ultrasonographic Signs in Subjects With Moderately to Severely Active Rheumatoid Arthritis (RA) Treated With Adalimumab (MUSICA),"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE4,Rheumatoid Arthritis
NCT06310837,Effect of Immunosuppressants With Adalimumab Biosimilars vs Corticosteroids on Noninfectious Uveitis,"Zhongshan Ophthalmic Center, Sun Yat-sen University",ACTIVE_NOT_RECRUITING,NA,Uveitis
NCT00940862,Effect of Adalimumab on Vascular Inflammation in Patients With Moderate to Severe Plaque Psoriasis,Innovaderm Research Inc.,COMPLETED,PHASE4,Psoriasis | Vascular Inflammation | Coronary Atherosclerosis
NCT04369651,Socio-economic Determinants for Acceptance and Choice of Biological Treatment,"National Center for Rheumatic Diseases, Nepal",COMPLETED,N/A,Spondyloarthritis
NCT03172377,Lengthening Adalimumab Dosing Interval in Quiescent Crohn's Disease Patients,Radboud University Medical Center,UNKNOWN,PHASE4,Crohn Disease in Remission | Crohn Disease
NCT01388257,Anal Crohn Fistula Surgery,French Society of Coloproctology,UNKNOWN,NA,Crohn Disease | Fistula | Anoperineal Fistula | Anal Fistula
NCT02114931,Long-term Safety and Efficacy of ABP 501 in Subjects With Moderate to Severe Rheumatoid Arthritis,Amgen,COMPLETED,PHASE3,"Arthritis, Rheumatoid"
NCT02497469,An Efficacy and Safety Study of Vedolizumab Intravenous (IV) Compared to Adalimumab Subcutaneous (SC) in Participants With Ulcerative Colitis,Takeda,COMPLETED,PHASE3,"Colitis, Ulcerative"
NCT03895203,A Study to Test the Efficacy and Safety of Bimekizumab in the Treatment of Subjects With Active Psoriatic Arthritis,UCB Biopharma SRL,COMPLETED,PHASE3,Psoriatic Arthritis
NCT04439929,"Comparative Pharmacokinetic, Safety, Tolerability and Immunogenicity Study of Adalimumab in Healthy Subjects",Turgut İlaçları A.Ş.,COMPLETED,PHASE1,Healthy Participants
NCT03619876,Effects of Abatacept on Myocarditis in Rheumatoid Arthritis,Columbia University,TERMINATED,PHASE4,Rheumatoid Arthritis | Myocardial Inflammation
NCT02616380,Real-World Outcome of Adalimumab on Rheumatoid Arthritis Patients in Taiwan,AbbVie,COMPLETED,N/A,Rheumatoid Arthritis
NCT00696059,Humira in Rheumatoid Arthritis - Do Bone Erosions Heal?,Hvidovre University Hospital,COMPLETED,PHASE4,Rheumatoid Arthritis | Arthritis | Joint Diseases
NCT01233583,Regulatory T-cells in Psoriasis Patients as Targets for Therapy,University of Aberdeen,COMPLETED,N/A,Psoriasis
NCT04251741,Using Adalimumab Serum Concentration to Choose a Subsequent Biological DMARD in Rheumatoid Arthritis Patients Failing Adalimumab Treatment,Reade Rheumatology Research Institute,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT07138898,Immunosuppressant Management in Rheumatology Patients Undergoing Elective Total Shoulder Arthroplasty,NYU Langone Health,NOT_YET_RECRUITING,PHASE2,Rheumatic Disease
NCT00833729,The Safety & Efficacy of Etanercept in Psoriasis Patients Who Have Not Responded to Adalimumab,Dermatrials Research,COMPLETED,PHASE4,Plaque Psoriasis
NCT01505855,Efficacy Study of Pneumococcal Vaccination in Crohn's Disease,Kyunghee University Medical Center,COMPLETED,PHASE4,Crohn's Disease
NCT01960426,Evaluation of Health Costs and Resource Utilization,"University of Western Ontario, Canada",TERMINATED,PHASE4,Ulcerative Colitis | Crohn's Disease
NCT01021735,Optimal Management of Rheumatoid Arthritis Patients Requiring Biologic Therapy,University of Glasgow,COMPLETED,PHASE4,Rheumatoid Arthritis
NCT03261102,TDM Guided Early Optimization of ADAL in Crohn's Disease,waqqas.afif,ACTIVE_NOT_RECRUITING,NA,Crohn Disease | Drug Monitoring | Inflammatory Bowel Diseases
NCT00216177,Comparison of Adalimumab and Infliximab Treatment of Rheumatoid Arthritis,Hvidovre University Hospital,UNKNOWN,PHASE4,Rheumatoid Arthritis
NCT00305539,HECTHOR: Humira to Spare Steroids in Giant Cell Arteritis,Assistance Publique - Hôpitaux de Paris,COMPLETED,PHASE3,Giant Cell Arteritis
NCT03607903,Adalimumab Microneedles in Healthy Volunteers,"Centre for Human Drug Research, Netherlands",COMPLETED,PHASE1 | PHASE2,Pain | Injection Site
NCT04571697,A Study of Comparing Rates of Dementia and Alzheimer's Disease in Participants Initiating Methotrexate Versus Those Initiating Anti-tumor Necrosis Factor (TNF)-Alpha Therapy,"Janssen Research & Development, LLC",COMPLETED,N/A,Dementia | Alzheimer Disease
NCT03220841,Stricture Definition and Treatment (STRIDENT) Drug Therapy Study,St Vincent's Hospital Melbourne,UNKNOWN,PHASE4,Crohn Disease | Inflammatory Bowel Diseases | Stricture; Bowel
NCT00761514,Evaluation of Quality of Life Changes in Puerto Rican Subjects With Active Rheumatoid Arthritis Treated With Humira,Abbott,TERMINATED,PHASE4,Rheumatoid Arthritis
NCT01562951,Assessment of Mucosal Activity to Improve the Prognosis of Patients With Crohn's Disease Treated With Immunosuppressants,Grupo Espanol de Trabajo en Enfermedad de Crohn y Colitis Ulcerosa,TERMINATED,PHASE3,Crohn's Disease | Mucosal Inflammation
NCT00853099,A Study of Adalimumab in Japanese Subjects With Moderately to Severely Active Ulcerative Colitis,"AbbVie (prior sponsor, Abbott)",COMPLETED,PHASE3,Ulcerative Colitis
NCT00967538,Safety and Efficacy of Etanercept in Patients With Psoriasis Who Failed to Respond to Other Biologic Treatments,Innovaderm Research Inc.,COMPLETED,PHASE4,Psoriasis
NCT07495644,Efficacy of Different Biological Treatments in Patients With Inflammatory Bowel Disease After One Year of Treatment in Upper Egypt,Assiut University,NOT_YET_RECRUITING,N/A,Inflamatory Bowel Disease (Crohn&#39;s and Ulcerative Colitis)
NCT00477893,Danish Multicenter Study of Adalimumab in Spondyloarthritis,"Glostrup University Hospital, Copenhagen",UNKNOWN,PHASE4,Spondyloarthritis
